iter	Passed	Remaining
906	39758	4076
907	39802	4032
908	39846	3989
909	39896	3945
910	39952	3903
911	39996	3859
912	40036	3815
913	40074	3770
914	40117	3726
915	40155	3682
916	40195	3638
917	40239	3594
918	40285	3550
919	40324	3506
920	40369	3462
921	40413	3418
922	40460	3375
923	40504	3331
924	40553	3288
925	40604	3244
926	40654	3201
927	40700	3157
928	40751	3114
929	40797	3070
930	40845	3027
931	40894	2983
932	40939	2939
933	40984	2896
934	41031	2852
935	41088	2809
936	41134	2765
937	41180	2721
938	41228	2678
939	41278	2634
940	41331	2591
941	41378	2547
942	41424	2503
943	41469	2460
944	41513	2416
945	41560	2372
946	41606	2328
947	41663	2285
948	41714	2241
949	41761	2197
950	41810	2154
951	41854	2110
952	41907	2066
953	41957	2023
954	42011	1979
955	42067	1936
956	42120	1892
957	42165	1848
958	42213	1804
959	42260	1760
960	42303	1716
961	42347	1672
962	42388	1628
963	42430	1584
964	42472	1540
965	42519	1496
966	42568	1452
967	42615	1408
968	42662	1364
969	42704	1320
970	42743	1276
971	42782	1232
972	42824	1188
973	42862	1144
974	42900	1100
975	42940	1055
976	42980	1011
977	43021	967
978	43060	923
979	43099	879
980	43138	835
981	43176	791
982	43216	747
983	43258	703
984	43296	659
985	43335	615
986	43374	571
987	43415	527
988	43454	483
989	43510	439
990	43552	395
991	43592	351
992	43632	307
993	43671	263
994	43710	219
995	43752	175
996	43794	131
997	43834	87
998	43873	43
999	43920	0
